chromosome,neutral_rate,observed_rate,RS
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,2.64,1.08
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,1.03,2.69
ACmerged_contig_10026,3.72,-2.29,6.01
ACmerged_contig_10026,3.72,1.41,2.31
ACmerged_contig_10026,3.72,2.85,0.87
ACmerged_contig_10026,3.72,-1.24,4.96
ACmerged_contig_10026,3.72,-4.61,8.33
ACmerged_contig_10026,3.72,2.64,1.08
ACmerged_contig_10026,3.65,1.87,1.78
ACmerged_contig_10026,3.66,2.59,1.07
ACmerged_contig_10026,3.66,-2.98,6.64
ACmerged_contig_10026,3.66,2.61,1.05
ACmerged_contig_10026,3.66,2.36,1.3
ACmerged_contig_10026,3.66,1.84,1.82
ACmerged_contig_10026,3.66,2.43,1.23
ACmerged_contig_10026,3.66,1.71,1.95
ACmerged_contig_10026,3.66,-1.33,4.99
ACmerged_contig_10026,3.66,-1.47,5.13
ACmerged_contig_10026,3.66,0.917,2.743
ACmerged_contig_10026,3.66,0.759,2.901
ACmerged_contig_10026,3.66,0.65,3.01
ACmerged_contig_10026,3.63,2.55,1.08
ACmerged_contig_10026,3.63,-0.251,3.881
ACmerged_contig_10026,3.63,1.8,1.83
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,1.53,2.19
ACmerged_contig_10026,3.72,2.52,1.2
ACmerged_contig_10026,3.72,2.43,1.29
ACmerged_contig_10026,3.72,1.55,2.17
ACmerged_contig_10026,3.72,-0.0208,3.7408
ACmerged_contig_10026,3.72,1.92,1.8
ACmerged_contig_10026,3.72,1.6,2.12
ACmerged_contig_10026,3.72,2.51,1.21
ACmerged_contig_10026,3.72,2.85,0.87
ACmerged_contig_10026,3.72,2.66,1.06
ACmerged_contig_10026,3.72,1.93,1.79
ACmerged_contig_10026,3.72,1.53,2.19
ACmerged_contig_10026,3.72,2.63,1.09
ACmerged_contig_10026,3.72,2.52,1.2
ACmerged_contig_10026,3.72,0.457,3.263
ACmerged_contig_10026,3.72,-1.04,4.76
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,0.344,3.376
ACmerged_contig_10026,3.72,2.5,1.22
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,1.9,1.82
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,1.35,2.37
ACmerged_contig_10026,3.72,0.562,3.158
ACmerged_contig_10026,3.72,-0.206,3.926
ACmerged_contig_10026,3.76,1.03,2.73
ACmerged_contig_10026,3.76,1.91,1.85
ACmerged_contig_10026,3.76,1.89,1.87
ACmerged_contig_10026,3.76,2.89,0.87
ACmerged_contig_10026,3.76,2.47,1.29
ACmerged_contig_10026,3.76,2.87,0.89
ACmerged_contig_10026,3.76,1.58,2.18
ACmerged_contig_10026,3.76,1.01,2.75
ACmerged_contig_10026,3.76,2,1.76
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,-1.27,5.03
ACmerged_contig_10026,3.76,1.26,2.5
ACmerged_contig_10026,3.76,0.356,3.404
ACmerged_contig_10026,3.76,0.995,2.765
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,2.84,0.92
ACmerged_contig_10026,3.76,2.89,0.87
ACmerged_contig_10026,3.76,0.0967,3.6633
ACmerged_contig_10026,3.72,2.64,1.08
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,1.9,1.82
ACmerged_contig_10026,3.72,-0.0681,3.7881
ACmerged_contig_10026,3.72,1.9,1.82
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,2.66,1.06
ACmerged_contig_10026,3.72,2.84,0.88
ACmerged_contig_10026,3.72,-1.8,5.52
ACmerged_contig_10026,3.72,2.66,1.06
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,-0.0152,3.7352
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.72,1.56,2.16
ACmerged_contig_10026,3.72,2.85,0.87
ACmerged_contig_10026,3.72,2.5,1.22
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,1.38,2.34
ACmerged_contig_10026,3.72,2.66,1.06
ACmerged_contig_10026,3.72,2.85,0.87
ACmerged_contig_10026,3.72,0.347,3.373
ACmerged_contig_10026,3.7,2.78,0.92
ACmerged_contig_10026,3.68,2.48,1.2
ACmerged_contig_10026,3.68,1.52,2.16
ACmerged_contig_10026,3.68,1.93,1.75
ACmerged_contig_10026,3.68,2.47,1.21
ACmerged_contig_10026,3.68,1.92,1.76
ACmerged_contig_10026,3.68,1.91,1.77
ACmerged_contig_10026,3.68,2.47,1.21
ACmerged_contig_10026,3.65,2.57,1.08
ACmerged_contig_10026,3.65,2.45,1.2
ACmerged_contig_10026,3.65,2.76,0.89
ACmerged_contig_10026,3.65,2.45,1.2
ACmerged_contig_10026,3.65,2.76,0.89
ACmerged_contig_10026,3.65,2.59,1.06
ACmerged_contig_10026,3.65,1.8,1.85
ACmerged_contig_10026,3.65,2.78,0.87
ACmerged_contig_10026,3.65,1.86,1.79
ACmerged_contig_10026,3.65,-0.133,3.783
ACmerged_contig_10026,3.65,2.74,0.91
ACmerged_contig_10026,3.65,1.47,2.18
ACmerged_contig_10026,3.59,1.73,1.86
ACmerged_contig_10026,3.59,2.43,1.16
ACmerged_contig_10026,3.59,-6.62,10.21
ACmerged_contig_10026,3.59,1.62,1.97
ACmerged_contig_10026,3.59,2.68,0.91
ACmerged_contig_10026,3.59,2.71,0.88
ACmerged_contig_10026,3.59,2.54,1.05
ACmerged_contig_10026,3.59,2.68,0.91
ACmerged_contig_10026,3.59,1.13,2.46
ACmerged_contig_10026,3.61,0.547,3.063
ACmerged_contig_10026,3.61,2.69,0.92
ACmerged_contig_10026,3.61,1.83,1.78
ACmerged_contig_10026,3.61,2.56,1.05
ACmerged_contig_10026,3.61,0.873,2.737
ACmerged_contig_10026,3.61,2.73,0.88
ACmerged_contig_10026,3.61,-0.0491,3.6591
ACmerged_contig_10026,3.61,1.43,2.18
ACmerged_contig_10026,3.57,0.183,3.387
ACmerged_contig_10026,3.57,2.7,0.87
ACmerged_contig_10026,3.57,2.28,1.29
ACmerged_contig_10026,3.57,2.4,1.17
ACmerged_contig_10026,3.57,2.62,0.95
ACmerged_contig_10026,3.57,0.881,2.689
ACmerged_contig_10026,3.57,-1.37,4.94
ACmerged_contig_10026,3.57,1.04,2.53
ACmerged_contig_10026,3.57,2.49,1.08
ACmerged_contig_10026,3.57,2.37,1.2
ACmerged_contig_10026,3.57,2.36,1.21
ACmerged_contig_10026,3.57,2.62,0.95
ACmerged_contig_10026,3.57,1.82,1.75
ACmerged_contig_10026,3.57,1.4,2.17
ACmerged_contig_10026,3.57,2.51,1.06
ACmerged_contig_10026,3.57,2.42,1.15
ACmerged_contig_10026,3.57,1.73,1.84
ACmerged_contig_10026,3.57,2.69,0.88
ACmerged_contig_10026,3.57,1.04,2.53
ACmerged_contig_10026,3.63,1.77,1.86
ACmerged_contig_10026,3.63,1.79,1.84
ACmerged_contig_10026,3.63,2.72,0.91
ACmerged_contig_10026,3.63,2.47,1.16
ACmerged_contig_10026,3.63,2.71,0.92
ACmerged_contig_10026,3.66,1.44,2.22
ACmerged_contig_10026,3.66,2.45,1.21
ACmerged_contig_10026,3.66,-0.271,3.931
ACmerged_contig_10026,3.66,2.76,0.9
ACmerged_contig_10026,3.66,1.05,2.61
ACmerged_contig_10026,3.66,2.75,0.91
ACmerged_contig_10026,3.66,2.5,1.16
ACmerged_contig_10026,3.66,1.88,1.78
ACmerged_contig_10026,3.66,2.42,1.24
ACmerged_contig_10026,3.66,2.48,1.18
ACmerged_contig_10026,3.66,0.866,2.794
ACmerged_contig_10026,3.66,2.79,0.87
ACmerged_contig_10026,3.66,2.58,1.08
ACmerged_contig_10026,3.66,2.46,1.2
ACmerged_contig_10026,3.66,0.0902,3.5698
ACmerged_contig_10026,3.66,2.61,1.05
ACmerged_contig_10026,3.66,1.49,2.17
ACmerged_contig_10026,3.66,2.36,1.3
ACmerged_contig_10026,3.66,2.75,0.91
ACmerged_contig_10026,3.66,2.48,1.18
ACmerged_contig_10026,3.66,1.85,1.81
ACmerged_contig_10026,3.66,1.47,2.19
ACmerged_contig_10026,3.66,2.58,1.08
ACmerged_contig_10026,3.66,1.44,2.22
ACmerged_contig_10026,3.66,2.61,1.05
ACmerged_contig_10026,3.66,2.59,1.07
ACmerged_contig_10026,3.66,2.58,1.08
ACmerged_contig_10026,3.66,2.77,0.89
ACmerged_contig_10026,3.69,2.83,0.86
ACmerged_contig_10026,3.69,2.46,1.23
ACmerged_contig_10026,3.69,1.23,2.46
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,2.54,1.15
ACmerged_contig_10026,3.69,1.83,1.86
ACmerged_contig_10026,3.69,0.987,2.703
ACmerged_contig_10026,3.69,1.23,2.46
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,1.91,1.78
ACmerged_contig_10026,3.69,1.53,2.16
ACmerged_contig_10026,3.69,2.8,0.89
ACmerged_contig_10026,3.69,2.61,1.08
ACmerged_contig_10026,3.69,-0.965,4.655
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,1.19,2.5
ACmerged_contig_10026,3.69,1.3,2.39
ACmerged_contig_10026,3.69,2.71,0.98
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,-4,7.69
ACmerged_contig_10026,3.69,1.51,2.18
ACmerged_contig_10026,3.69,2.54,1.15
ACmerged_contig_10026,3.69,2.8,0.89
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,-1.91,5.6
ACmerged_contig_10026,3.69,-4.31,8
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,2.48,1.21
ACmerged_contig_10026,3.67,0.283,3.387
ACmerged_contig_10026,3.67,1.88,1.79
ACmerged_contig_10026,3.67,2.49,1.18
ACmerged_contig_10026,3.67,1.21,2.46
ACmerged_contig_10026,3.67,2.6,1.07
ACmerged_contig_10026,3.67,2.46,1.21
ACmerged_contig_10026,3.67,-3.53,7.2
ACmerged_contig_10026,3.67,-0.978,4.648
ACmerged_contig_10026,3.67,2.79,0.88
ACmerged_contig_10026,3.67,-0.153,3.823
ACmerged_contig_10026,3.67,0.967,2.703
ACmerged_contig_10026,3.67,2.78,0.89
ACmerged_contig_10026,3.67,-4.85,8.52
ACmerged_contig_10026,3.67,1.06,2.61
ACmerged_contig_10026,3.67,-6.66,10.33
ACmerged_contig_10026,3.67,-4.51,8.18
ACmerged_contig_10026,3.67,-0.758,4.428
ACmerged_contig_10026,3.67,1.84,1.83
ACmerged_contig_10026,3.67,1.18,2.49
ACmerged_contig_10026,3.67,1.4,2.27
ACmerged_contig_10026,3.67,2.8,0.87
ACmerged_contig_10026,3.67,2.59,1.08
ACmerged_contig_10026,3.67,-2.4,6.07
ACmerged_contig_10026,3.67,2.8,0.87
ACmerged_contig_10026,3.67,2.59,1.08
ACmerged_contig_10026,3.67,2.76,0.91
ACmerged_contig_10026,3.67,2.49,1.18
ACmerged_contig_10026,3.67,1.35,2.32
ACmerged_contig_10026,3.67,1.49,2.18
ACmerged_contig_10026,3.67,-4.25,7.92
ACmerged_contig_10026,3.67,1.84,1.83
ACmerged_contig_10026,3.67,2.59,1.08
ACmerged_contig_10026,3.67,2.61,1.06
ACmerged_contig_10026,3.67,2.77,0.9
ACmerged_contig_10026,3.67,2.46,1.21
ACmerged_contig_10026,3.67,0.272,3.398
ACmerged_contig_10026,3.67,2.6,1.07
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,1.85,1.84
ACmerged_contig_10026,3.69,2.8,0.89
ACmerged_contig_10026,3.69,1.53,2.16
ACmerged_contig_10026,3.69,2.47,1.22
ACmerged_contig_10026,3.69,2.48,1.21
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,1.72,1.97
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,2.47,1.22
ACmerged_contig_10026,3.69,-0.1,3.79
ACmerged_contig_10026,3.69,-0.794,4.484
ACmerged_contig_10026,3.69,1.5,2.19
ACmerged_contig_10026,3.68,2.57,1.11
ACmerged_contig_10026,3.68,2.47,1.21
ACmerged_contig_10026,3.68,2.78,0.9
ACmerged_contig_10026,3.68,0.793,2.887
ACmerged_contig_10026,3.68,2.46,1.22
ACmerged_contig_10026,3.68,2.76,0.92
ACmerged_contig_10026,3.68,2.47,1.21
ACmerged_contig_10026,3.68,-1.17,4.85
ACmerged_contig_10026,3.68,-0.0961,3.7761
ACmerged_contig_10026,3.68,2.8,0.88
ACmerged_contig_10026,3.68,-0.846,4.526
ACmerged_contig_10026,3.68,2.45,1.23
ACmerged_contig_10026,3.68,1.81,1.87
ACmerged_contig_10026,3.68,1.91,1.77
ACmerged_contig_10026,3.68,2.77,0.91
ACmerged_contig_10026,3.68,2.76,0.92
ACmerged_contig_10026,3.68,-5.81,9.49
ACmerged_contig_10026,3.68,2.78,0.9
ACmerged_contig_10026,3.68,0.447,3.233
ACmerged_contig_10026,3.68,0.9,2.78
ACmerged_contig_10026,3.68,2.62,1.06
ACmerged_contig_10026,3.68,2.46,1.22
ACmerged_contig_10026,3.68,-0.0798,3.7598
ACmerged_contig_10026,3.68,0.522,3.158
ACmerged_contig_10026,3.68,1.82,1.86
ACmerged_contig_10026,3.68,-5.94,9.62
ACmerged_contig_10026,3.68,1.46,2.22
ACmerged_contig_10026,3.68,2.61,1.07
ACmerged_contig_10026,3.68,2.77,0.91
ACmerged_contig_10026,3.68,-4.89,8.57
ACmerged_contig_10026,3.68,2.47,1.21
ACmerged_contig_10026,3.68,1.52,2.16
ACmerged_contig_10026,3.68,2.44,1.24
ACmerged_contig_10026,3.68,-2.67,6.35
ACmerged_contig_10026,3.68,2.46,1.22
ACmerged_contig_10026,3.68,1.51,2.17
ACmerged_contig_10026,3.68,2.77,0.91
ACmerged_contig_10026,3.68,-2.37,6.05
ACmerged_contig_10026,3.68,-1.94,5.62
ACmerged_contig_10026,3.68,2.5,1.18
ACmerged_contig_10026,3.68,0.951,2.729
ACmerged_contig_10026,3.68,2.77,0.91
ACmerged_contig_10026,3.71,2.51,1.2
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,2.51,1.2
ACmerged_contig_10026,3.71,1.88,1.83
ACmerged_contig_10026,3.71,2.62,1.09
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,2.54,1.17
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,-2.01,5.72
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,0.774,2.986
ACmerged_contig_10026,3.76,2.88,0.88
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,1.06,2.7
ACmerged_contig_10026,3.76,1.44,2.32
ACmerged_contig_10026,3.76,2.88,0.88
ACmerged_contig_10026,3.76,2.71,1.05
ACmerged_contig_10026,3.76,2.71,1.05
ACmerged_contig_10026,3.76,1.46,2.3
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.69,0.897,2.793
ACmerged_contig_10026,3.69,2.48,1.21
ACmerged_contig_10026,3.69,2.47,1.22
ACmerged_contig_10026,3.69,2.54,1.15
ACmerged_contig_10026,3.69,1.24,2.45
ACmerged_contig_10026,3.69,1.5,2.19
ACmerged_contig_10026,3.69,0.0452,3.6448
ACmerged_contig_10026,3.69,1.89,1.8
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,2.61,1.08
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,-0.193,3.883
ACmerged_contig_10026,3.69,-0.139,3.829
ACmerged_contig_10026,3.69,2.83,0.86
ACmerged_contig_10026,3.69,2.82,0.87
ACmerged_contig_10026,3.69,1.36,2.33
ACmerged_contig_10026,3.69,2.63,1.06
ACmerged_contig_10026,3.69,1.76,1.93
ACmerged_contig_10026,3.69,0.364,3.326
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,-0.218,3.908
ACmerged_contig_10026,3.69,2.6,1.09
ACmerged_contig_10026,3.69,2.79,0.9
ACmerged_contig_10026,3.69,1.52,2.17
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,2.82,0.87
ACmerged_contig_10026,3.69,2.47,1.22
ACmerged_contig_10026,3.69,2.8,0.89
ACmerged_contig_10026,3.69,2.64,1.05
ACmerged_contig_10026,3.69,2.83,0.86
ACmerged_contig_10026,3.69,2.82,0.87
ACmerged_contig_10026,3.66,1.9,1.76
ACmerged_contig_10026,3.66,2.46,1.2
ACmerged_contig_10026,3.66,2.78,0.88
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,-4.64,8.33
ACmerged_contig_10026,3.69,-1.82,5.51
ACmerged_contig_10026,3.69,1.28,2.41
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,2.82,0.87
ACmerged_contig_10026,3.69,1.92,1.77
ACmerged_contig_10026,3.69,2.82,0.87
ACmerged_contig_10026,3.69,1.25,2.44
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,1.18,2.51
ACmerged_contig_10026,3.69,2.46,1.23
ACmerged_contig_10026,3.69,2.39,1.3
ACmerged_contig_10026,3.69,1.54,2.15
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,1.93,1.78
ACmerged_contig_10026,3.71,2.5,1.21
ACmerged_contig_10026,3.71,2.51,1.2
ACmerged_contig_10026,3.71,2.66,1.05
ACmerged_contig_10026,3.71,1.21,2.5
ACmerged_contig_10026,3.71,1.81,1.9
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,-4.55,8.26
ACmerged_contig_10026,3.71,1.95,1.76
ACmerged_contig_10026,3.71,-5.71,9.42
ACmerged_contig_10026,3.75,2.52,1.23
ACmerged_contig_10026,3.75,2.69,1.06
ACmerged_contig_10026,3.75,2.81,0.94
ACmerged_contig_10026,3.75,2.88,0.87
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,1.1,2.71
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.77,1.04
ACmerged_contig_10026,3.81,0.439,3.371
ACmerged_contig_10026,3.81,2.95,0.86
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,1.13,2.68
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,1.37,2.44
ACmerged_contig_10026,3.81,2.93,0.88
ACmerged_contig_10026,3.81,-0.106,3.916
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.79,2.59,1.2
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.79,2.59,1.2
ACmerged_contig_10026,3.79,2.87,0.92
ACmerged_contig_10026,3.79,1.62,2.17
ACmerged_contig_10026,3.79,2.64,1.15
ACmerged_contig_10026,3.79,2.89,0.9
ACmerged_contig_10026,3.79,0.45,3.34
ACmerged_contig_10026,3.79,2.73,1.06
ACmerged_contig_10026,3.79,2.58,1.21
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.87,0.94
ACmerged_contig_10026,3.81,2.6,1.21
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.95,0.86
ACmerged_contig_10026,3.81,1.99,1.82
ACmerged_contig_10026,3.81,0.0615,3.7485
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.87,0.94
ACmerged_contig_10026,3.81,2.88,0.93
ACmerged_contig_10026,3.81,2.92,0.89
ACmerged_contig_10026,3.81,2.65,1.16
ACmerged_contig_10026,3.81,1.54,2.27
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.6,1.21
ACmerged_contig_10026,3.81,2.68,1.13
ACmerged_contig_10026,3.78,2.72,1.06
ACmerged_contig_10026,3.78,2.56,1.22
ACmerged_contig_10026,3.78,2.89,0.89
ACmerged_contig_10026,3.78,0.457,3.323
ACmerged_contig_10026,3.78,2.71,1.07
ACmerged_contig_10026,3.78,2.69,1.09
ACmerged_contig_10026,3.78,2.71,1.07
ACmerged_contig_10026,3.78,2.91,0.87
ACmerged_contig_10026,3.78,2.63,1.15
ACmerged_contig_10026,3.78,2.87,0.91
ACmerged_contig_10026,3.73,1.93,1.8
ACmerged_contig_10026,3.73,2.67,1.06
ACmerged_contig_10026,3.73,2.82,0.91
ACmerged_contig_10026,3.73,2.52,1.21
ACmerged_contig_10026,3.73,2.82,0.91
ACmerged_contig_10026,3.73,-0.899,4.629
ACmerged_contig_10026,3.73,2.64,1.09
ACmerged_contig_10026,3.73,-2.06,5.79
ACmerged_contig_10026,3.73,2.53,1.2
ACmerged_contig_10026,3.73,2.34,1.39
ACmerged_contig_10026,3.73,1.95,1.78
ACmerged_contig_10026,3.73,2.57,1.16
ACmerged_contig_10026,3.73,-0.968,4.698
ACmerged_contig_10026,3.73,0.331,3.399
ACmerged_contig_10026,3.73,2.64,1.09
ACmerged_contig_10026,3.73,2.85,0.88
ACmerged_contig_10026,3.73,2.86,0.87
ACmerged_contig_10026,3.73,2.81,0.92
ACmerged_contig_10026,3.73,2.82,0.91
ACmerged_contig_10026,3.73,2.63,1.1
ACmerged_contig_10026,3.73,1.02,2.71
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,2.87,0.89
ACmerged_contig_10026,3.76,1.3,2.46
ACmerged_contig_10026,3.76,0.68,3.08
ACmerged_contig_10026,3.76,0.103,3.657
ACmerged_contig_10026,3.76,2.87,0.89
ACmerged_contig_10026,3.76,-0.748,4.508
ACmerged_contig_10026,3.76,2.87,0.89
ACmerged_contig_10026,3.76,-2.08,5.84
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,0.976,2.784
ACmerged_contig_10026,3.76,1.31,2.45
ACmerged_contig_10026,3.76,2.53,1.23
ACmerged_contig_10026,3.76,2.6,1.16
ACmerged_contig_10026,3.76,2.71,1.05
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,-0.143,3.903
ACmerged_contig_10026,3.73,1.97,1.76
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,1.23,2.53
ACmerged_contig_10026,3.76,-1.46,5.22
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2,1.76
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.7,1.06
ACmerged_contig_10026,3.76,1.94,1.82
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,2.76,1
ACmerged_contig_10026,3.76,2.68,1.08
ACmerged_contig_10026,3.76,1.74,2.02
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.47,1.29
ACmerged_contig_10026,3.76,2.87,0.89
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.61,1.15
ACmerged_contig_10026,3.76,0.522,3.238
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.53,1.23
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,0.686,3.074
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,-0.0769,3.8369
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,1.59,2.17
ACmerged_contig_10026,3.76,2.7,1.06
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.7,1.06
ACmerged_contig_10026,3.76,0.0373,3.7227
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,1.35,2.41
ACmerged_contig_10026,3.76,2.78,0.98
ACmerged_contig_10026,3.76,-1.55,5.31
ACmerged_contig_10026,3.76,1.55,2.21
ACmerged_contig_10026,3.76,2.7,1.06
ACmerged_contig_10026,3.76,0.964,2.796
ACmerged_contig_10026,3.76,2.01,1.75
ACmerged_contig_10026,3.76,1.07,2.69
ACmerged_contig_10026,3.76,2.9,0.86
ACmerged_contig_10026,3.76,2.54,1.22
ACmerged_contig_10026,3.76,-5.36,9.12
ACmerged_contig_10026,3.76,1.94,1.82
ACmerged_contig_10026,3.75,2.54,1.21
ACmerged_contig_10026,3.75,2.88,0.87
ACmerged_contig_10026,3.75,1.87,1.88
ACmerged_contig_10026,3.75,1.91,1.84
ACmerged_contig_10026,3.75,2.68,1.07
ACmerged_contig_10026,3.75,2.88,0.87
ACmerged_contig_10026,3.75,2.47,1.28
ACmerged_contig_10026,3.75,1.77,1.98
ACmerged_contig_10026,3.75,0.14,3.61
ACmerged_contig_10026,3.75,1.6,2.15
ACmerged_contig_10026,3.75,2.55,1.2
ACmerged_contig_10026,3.71,2.62,1.09
ACmerged_contig_10026,3.71,2.82,0.89
ACmerged_contig_10026,3.67,1.9,1.77
ACmerged_contig_10026,3.67,1.18,2.49
ACmerged_contig_10026,3.67,2.6,1.07
ACmerged_contig_10026,3.67,2.47,1.2
ACmerged_contig_10026,3.64,2.76,0.88
ACmerged_contig_10026,3.72,1.52,2.2
ACmerged_contig_10026,3.72,-3.29,7.01
ACmerged_contig_10026,3.59,2.7,0.89
ACmerged_contig_10026,3.59,-0.0799,3.6699
ACmerged_contig_10026,3.59,-0.172,3.762
ACmerged_contig_10026,3.59,2.53,1.06
ACmerged_contig_10026,3.59,1.77,1.82
ACmerged_contig_10026,3.59,2.44,1.15
ACmerged_contig_10026,3.59,1.06,2.53
ACmerged_contig_10026,3.59,1.07,2.52
ACmerged_contig_10026,3.61,1.58,2.03
ACmerged_contig_10026,3.63,2.55,1.08
ACmerged_contig_10026,3.63,2.56,1.07
ACmerged_contig_10026,3.63,2.46,1.17
ACmerged_contig_10026,3.63,2.73,0.9
ACmerged_contig_10026,3.63,2.41,1.22
ACmerged_contig_10026,3.63,2.75,0.88
ACmerged_contig_10026,3.63,2.45,1.18
ACmerged_contig_10026,3.63,2.71,0.92
